Unnamed: 0,0,1,0,wiI7pd
111,"{'label': 'POSITIVE', 'score': 0.993129551410675}","{'label': 'POSITIVE', 'score': 0.9989074468612671}",112.0,Made fresh daily you can taste the hard work that goes into each meal 😁❤👍 …
112,"{'label': 'POSITIVE', 'score': 0.989785373210907}","{'label': 'POSITIVE', 'score': 0.9988999366760254}",113.0,"Serving & wrapping is little different than what I used have in Toronto, Canada. Overall it is ok."
113,"{'label': 'POSITIVE', 'score': 0.9819087982177734}","{'label': 'NEGATIVE', 'score': 0.9992735981941223}",114.0,Waited +8 minutes than scheduled could order in person quicker
114,"{'label': 'POSITIVE', 'score': 0.9900200366973877}","{'label': 'NEGATIVE', 'score': 0.9994613528251648}",115.0,I love Chipolte! Food is always fresh. Dont rush the people thru the line tho'.
115,"{'label': 'POSITIVE', 'score': 0.990284264087677}","{'label': 'POSITIVE', 'score': 0.9988640546798706}",116.0,"Don't get the brisket, they give you less than half of a scoop"
116,"{'label': 'POSITIVE', 'score': 0.9926619529724121}","{'label': 'NEGATIVE', 'score': 0.9995023012161255}",117.0,"Great food and great service!  Delivery was early, driver was communicative and courteous!"
117,"{'label': 'POSITIVE', 'score': 0.9939540028572083}","{'label': 'POSITIVE', 'score': 0.9989240765571594}",118.0,"Usual Chipotle. Frequently the service is very, very slow. Food is just as great as any other Chipotle though."
118,"{'label': 'POSITIVE', 'score': 0.99293452501297}","{'label': 'NEGATIVE', 'score': 0.9886016249656677}",119.0,What's the point of having rewards app to scan off I'm just told that I have to manually enter it from the receipt. #chipotlefail
119,"{'label': 'POSITIVE', 'score': 0.9894458651542664}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}",120.0,The store manager literally yelled at me like I was her kid lol 😂 …
120,"{'label': 'POSITIVE', 'score': 0.9842329025268555}","{'label': 'POSITIVE', 'score': 0.9869733452796936}",121.0,"I love this place for clean eating, I go there for the chicken bowls, delicious!"
121,"{'label': 'POSITIVE', 'score': 0.9782271385192871}","{'label': 'POSITIVE', 'score': 0.9989344477653503}",122.0,"Worst Chipotle in the City. Super small portion sizes, rude, very unhelpful staff."
122,"{'label': 'POSITIVE', 'score': 0.9896865487098694}","{'label': 'NEGATIVE', 'score': 0.9995101690292358}",123.0,Never give enough meat and charge so much for extra but it's good
123,"{'label': 'NEGATIVE', 'score': 0.9897167086601257}","{'label': 'POSITIVE', 'score': 0.9906946420669556}",124.0,"Food are fresh served but while I'm in queue for order, the sewer pipes are smelling badly."
124,"{'label': 'POSITIVE', 'score': 0.98795086145401}","{'label': 'NEGATIVE', 'score': 0.9994831085205078}",125.0,"Line can be a little long at this location but other than that, it's just as great as all other locations."
125,"{'label': 'POSITIVE', 'score': 0.9835611581802368}","{'label': 'POSITIVE', 'score': 0.9987499713897705}",126.0,Fast service. It's ok. They need to add sour cream to their quesadillas.
126,"{'label': 'POSITIVE', 'score': 0.9888045191764832}","{'label': 'POSITIVE', 'score': 0.994469165802002}",127.0,Ate here twice. Got food poisoning twice. If I could give no stars I would.
127,"{'label': 'POSITIVE', 'score': 0.994061291217804}","{'label': 'NEGATIVE', 'score': 0.9994984865188599}",128.0,"Called to place an order to go - at 3pm when I know they're not busy - and they told me to ""place the order online"". #lazy"
128,"{'label': 'POSITIVE', 'score': 0.9800732731819153}","{'label': 'NEGATIVE', 'score': 0.9995005130767822}",129.0,"It's Chipotle, it's fast and used to be cheap, not anymore"
129,"{'label': 'POSITIVE', 'score': 0.9618943929672241}","{'label': 'POSITIVE', 'score': 0.9988152980804443}",130.0,Really good and a good price.   I love the hard shell tacos.   Try them.
130,"{'label': 'POSITIVE', 'score': 0.9676414132118225}","{'label': 'POSITIVE', 'score': 0.9989078044891357}",131.0,Food was good.
131,"{'label': 'POSITIVE', 'score': 0.9847844839096069}","{'label': 'POSITIVE', 'score': 0.9987416863441467}",132.0,About as good as you'd expect from a Chipotle!
132,"{'label': 'NEGATIVE', 'score': 0.7270401120185852}","{'label': 'POSITIVE', 'score': 0.99191814661026}",133.0,Awful food and service. Really just horrible.
133,"{'label': 'POSITIVE', 'score': 0.9934746623039246}","{'label': 'NEGATIVE', 'score': 0.9994968175888062}",134.0,Service here is always excellent and I always have a great time seeing Sherie
134,"{'label': 'POSITIVE', 'score': 0.9906746745109558}","{'label': 'POSITIVE', 'score': 0.9989312291145325}",135.0,"Move quick, seating is limited but people dont tend to linger"
135,"{'label': 'POSITIVE', 'score': 0.7461715340614319}","{'label': 'POSITIVE', 'score': 0.9971099495887756}",136.0,I like chipotle but this location make me fall in love with it.Just perfect :)
136,"{'label': 'POSITIVE', 'score': 0.9936791062355042}","{'label': 'POSITIVE', 'score': 0.9989206790924072}",137.0,"It's the same as every other Chipotle, and that's why we love it."
137,"{'label': 'POSITIVE', 'score': 0.9806585311889648}","{'label': 'POSITIVE', 'score': 0.9988279938697815}",138.0,chipotle is absolutely incredibly amazing if you have free burrito coupon.
138,"{'label': 'POSITIVE', 'score': 0.9741098284721375}","{'label': 'POSITIVE', 'score': 0.9981942772865295}",139.0,Didn’t give me silverware or napkins with online order.
139,"{'label': 'POSITIVE', 'score': 0.9733068943023682}","{'label': 'NEGATIVE', 'score': 0.9995017051696777}",140.0,i like going here cuz it a mexican restaurant and im mexican american and it has the burritos i like the burrito bowl i recomended to you.
140,"{'label': 'POSITIVE', 'score': 0.9667719602584839}","{'label': 'POSITIVE', 'score': 0.9988749623298645}",141.0,Gotthe chicken bowl got sick the same night and the manager refunded my meal
141,"{'label': 'POSITIVE', 'score': 0.9843388795852661}","{'label': 'NEGATIVE', 'score': 0.9993224143981934}",142.0,They take care of long lines quickly! Staff is upbeat too
142,"{'label': 'POSITIVE', 'score': 0.9921686053276062}","{'label': 'POSITIVE', 'score': 0.9988903403282166}",143.0,Is what it is for a good chain choice. Fresh cooked and staff is as expected.
143,"{'label': 'POSITIVE', 'score': 0.988930881023407}","{'label': 'POSITIVE', 'score': 0.998863935470581}",144.0,Best place for an American style burrito with a cheap price! 👌🏻 …
144,"{'label': 'POSITIVE', 'score': 0.9877484440803528}","{'label': 'POSITIVE', 'score': 0.9988279938697815}",145.0,One of the best Mexican food and you can find it everywhere
145,"{'label': 'NEGATIVE', 'score': 0.9842058420181274}","{'label': 'POSITIVE', 'score': 0.9988194108009338}",146.0,burritos that make you turn your head too the side are so good.
146,"{'label': 'POSITIVE', 'score': 0.987086296081543}","{'label': 'POSITIVE', 'score': 0.9985396862030029}",147.0,Missed chipotle a lot! Huge amount of delicious burrito with reasonable price!
147,"{'label': 'POSITIVE', 'score': 0.9785404205322266}","{'label': 'POSITIVE', 'score': 0.9986587762832642}",148.0,They were rude and gave me one million beans when I said no beans.
148,"{'label': 'POSITIVE', 'score': 0.9813622832298279}","{'label': 'NEGATIVE', 'score': 0.9994919300079346}",149.0,"Love the staff there, their awesome and always so accommodating!!!"
149,"{'label': 'POSITIVE', 'score': 0.9734305739402771}","{'label': 'POSITIVE', 'score': 0.9989264607429504}",150.0,Better than the loop one. Much cleaner and spacious.
150,"{'label': 'POSITIVE', 'score': 0.9895931482315063}","{'label': 'POSITIVE', 'score': 0.9988921284675598}",151.0,"It's same as indian dish, still needs spicy"
151,"{'label': 'POSITIVE', 'score': 0.9842358827590942}","{'label': 'NEGATIVE', 'score': 0.9882993698120117}",152.0,Was ok but mild needs to be less spice that is more medium
152,"{'label': 'POSITIVE', 'score': 0.9756119251251221}","{'label': 'NEGATIVE', 'score': 0.9948121309280396}",153.0,Great service! They're They're friendly!
153,"{'label': 'POSITIVE', 'score': 0.9872666001319885}","{'label': 'POSITIVE', 'score': 0.9988652467727661}",154.0,Great food with a good price politic :)
154,"{'label': 'POSITIVE', 'score': 0.9856249690055847}","{'label': 'POSITIVE', 'score': 0.9989047050476074}",155.0,"quick easy, don't stay hungry grab a burrito on the go!"
155,"{'label': 'NEGATIVE', 'score': 0.9753400087356567}","{'label': 'POSITIVE', 'score': 0.9988021850585938}",156.0,Prices high but good serivce and food....
156,"{'label': 'POSITIVE', 'score': 0.9928741455078125}","{'label': 'POSITIVE', 'score': 0.9986984729766846}",157.0,Within walking distance if you're shopping on the Mag Mile.
157,"{'label': 'POSITIVE', 'score': 0.9816068410873413}","{'label': 'POSITIVE', 'score': 0.9986615180969238}",158.0,The slowest Chipotle in America no lie
158,"{'label': 'POSITIVE', 'score': 0.9848480820655823}","{'label': 'NEGATIVE', 'score': 0.999160647392273}",159.0,Good food. Nice portions
159,"{'label': 'NEGATIVE', 'score': 0.9739621877670288}","{'label': 'POSITIVE', 'score': 0.9988481998443604}",160.0,Best food I have ate in USA....
160,"{'label': 'POSITIVE', 'score': 0.7270452976226807}","{'label': 'POSITIVE', 'score': 0.9986795783042908}",161.0,Super clean. Super fast. Excellent service!
161,"{'label': 'POSITIVE', 'score': 0.9851298332214355}","{'label': 'POSITIVE', 'score': 0.9988734126091003}",162.0,"With so many better spots, just go somewhere else."
162,"{'label': 'POSITIVE', 'score': 0.9847518801689148}","{'label': 'NEGATIVE', 'score': 0.9988901019096375}",163.0,Awesome and consistent no matter where you are in the US.
163,"{'label': 'POSITIVE', 'score': 0.9492998719215393}","{'label': 'POSITIVE', 'score': 0.9988929629325867}",164.0,"Tasty food, co-operative staff."
164,"{'label': 'POSITIVE', 'score': 0.9812387228012085}","{'label': 'POSITIVE', 'score': 0.9988974332809448}",165.0,Fast service. Not the best area after dark.
165,"{'label': 'NEGATIVE', 'score': 0.8961836695671082}","{'label': 'POSITIVE', 'score': 0.997281551361084}",166.0,"Friendly staff, clean location... mmmm Chipotle"
166,"{'label': 'POSITIVE', 'score': 0.9854560494422913}","{'label': 'POSITIVE', 'score': 0.9989198446273804}",167.0,Serving portions are always generous!
167,"{'label': 'POSITIVE', 'score': 0.9903312921524048}","{'label': 'POSITIVE', 'score': 0.9987515211105347}",168.0,Best tacos for your dollar by far
168,"{'label': 'POSITIVE', 'score': 0.9846845269203186}","{'label': 'POSITIVE', 'score': 0.998578667640686}",169.0,They know that single meat means double meat.
169,"{'label': 'POSITIVE', 'score': 0.9823035597801208}","{'label': 'NEGATIVE', 'score': 0.9895882606506348}",170.0,"Normal Chipotle experience, no problems 😁 …"
170,"{'label': 'POSITIVE', 'score': 0.9769946336746216}","{'label': 'POSITIVE', 'score': 0.9988468885421753}",171.0,Disgraceful serving sizes. Go elsewhere.
171,"{'label': 'POSITIVE', 'score': 0.9775323867797852}","{'label': 'NEGATIVE', 'score': 0.9995059967041016}",172.0,Very filling. Good place for a quick bite
172,"{'label': 'POSITIVE', 'score': 0.9828328490257263}","{'label': 'POSITIVE', 'score': 0.9988549947738647}",173.0,"Amazing food, fast service"
173,"{'label': 'POSITIVE', 'score': 0.9824177622795105}","{'label': 'POSITIVE', 'score': 0.9988693594932556}",174.0,This location literally had me in and out in 4 minutes!
174,"{'label': 'POSITIVE', 'score': 0.9879690408706665}","{'label': 'POSITIVE', 'score': 0.9983426332473755}",175.0,Whoever grills the chicken here sucks 🤮🤢🤮 …
175,"{'label': 'POSITIVE', 'score': 0.991010308265686}","{'label': 'NEGATIVE', 'score': 0.9994625449180603}",176.0,Great service during lunchtime.
176,"{'label': 'POSITIVE', 'score': 0.9922162294387817}","{'label': 'POSITIVE', 'score': 0.9988454580307007}",177.0,3 words: Needs better management.
177,"{'label': 'POSITIVE', 'score': 0.9710626006126404}","{'label': 'NEGATIVE', 'score': 0.9991024732589722}",178.0,Great Chipotle and super fast service!
178,"{'label': 'POSITIVE', 'score': 0.9834004044532776}","{'label': 'POSITIVE', 'score': 0.998916745185852}",179.0,I got sick to my stomach with their food
179,"{'label': 'POSITIVE', 'score': 0.983983039855957}","{'label': 'NEGATIVE', 'score': 0.9994634985923767}",180.0,It's really clean and inexpensive
180,"{'label': 'POSITIVE', 'score': 0.9916622638702393}","{'label': 'POSITIVE', 'score': 0.9986447691917419}",181.0,a month ago
181,"{'label': 'POSITIVE', 'score': 0.9805004596710205}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",182.0,8 months ago
182,"{'label': 'POSITIVE', 'score': 0.9480437636375427}","{'label': 'POSITIVE', 'score': 0.7053977251052856}",183.0,6 months ago
183,"{'label': 'POSITIVE', 'score': 0.9599341154098511}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",184.0,7 months ago
184,"{'label': 'POSITIVE', 'score': 0.9763047695159912}","{'label': 'NEGATIVE', 'score': 0.7481728196144104}",185.0,5 months ago
185,"{'label': 'POSITIVE', 'score': 0.8446787595748901}","{'label': 'NEGATIVE', 'score': 0.9378766417503357}",186.0,2 months ago
186,"{'label': 'POSITIVE', 'score': 0.9876812696456909}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",187.0,4 months ago
187,"{'label': 'POSITIVE', 'score': 0.9717517495155334}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",188.0,4 months ago
188,"{'label': 'NEGATIVE', 'score': 0.9139694571495056}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",189.0,4 months ago
189,"{'label': 'NEGATIVE', 'score': 0.9739742875099182}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",190.0,4 months ago
190,"{'label': 'NEGATIVE', 'score': 0.982410728931427}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",191.0,3 weeks ago
191,"{'label': 'NEGATIVE', 'score': 0.9480022192001343}","{'label': 'NEGATIVE', 'score': 0.9644762277603149}",192.0,6 months ago
192,"{'label': 'NEGATIVE', 'score': 0.8885896801948547}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",193.0,3 months ago
193,"{'label': 'NEGATIVE', 'score': 0.9836097955703735}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",194.0,2 months ago
194,"{'label': 'POSITIVE', 'score': 0.6375827789306641}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",195.0,4 months ago
195,"{'label': 'NEGATIVE', 'score': 0.9608897566795349}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",196.0,2 months ago
196,"{'label': 'NEGATIVE', 'score': 0.7877600193023682}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",197.0,9 months ago
197,"{'label': 'NEGATIVE', 'score': 0.9405866861343384}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",198.0,a year ago
198,"{'label': 'NEGATIVE', 'score': 0.9634634256362915}","{'label': 'POSITIVE', 'score': 0.950011670589447}",199.0,3 months ago
199,"{'label': 'NEGATIVE', 'score': 0.6841915249824524}","{'label': 'NEGATIVE', 'score': 0.9495143294334412}",200.0,a month ago
200,"{'label': 'POSITIVE', 'score': 0.9807654023170471}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",201.0,3 years ago
201,"{'label': 'POSITIVE', 'score': 0.8893715143203735}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",202.0,10 months ago
202,"{'label': 'POSITIVE', 'score': 0.978706955909729}","{'label': 'NEGATIVE', 'score': 0.6055190563201904}",203.0,2 months ago
203,"{'label': 'POSITIVE', 'score': 0.9003803730010986}","{'label': 'NEGATIVE', 'score': 0.9656301736831665}",204.0,8 months ago
204,"{'label': 'POSITIVE', 'score': 0.9803351163864136}","{'label': 'POSITIVE', 'score': 0.7053977251052856}",205.0,a year ago
205,"{'label': 'POSITIVE', 'score': 0.9348785281181335}","{'label': 'POSITIVE', 'score': 0.950011670589447}",206.0,5 months ago
206,"{'label': 'POSITIVE', 'score': 0.9767876267433167}","{'label': 'NEGATIVE', 'score': 0.9378766417503357}",207.0,a year ago
207,"{'label': 'POSITIVE', 'score': 0.9818799495697021}","{'label': 'POSITIVE', 'score': 0.950011670589447}",208.0,5 months ago
208,"{'label': 'POSITIVE', 'score': 0.9814534187316895}","{'label': 'NEGATIVE', 'score': 0.9378766417503357}",209.0,a year ago
209,"{'label': 'POSITIVE', 'score': 0.6614647507667542}","{'label': 'POSITIVE', 'score': 0.950011670589447}",210.0,3 weeks ago
210,"{'label': 'POSITIVE', 'score': 0.7906942963600159}","{'label': 'NEGATIVE', 'score': 0.9644762277603149}",211.0,9 months ago
211,"{'label': 'POSITIVE', 'score': 0.9684052467346191}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",212.0,4 months ago
212,"{'label': 'NEGATIVE', 'score': 0.982986569404602}","{'label': 'NEGATIVE', 'score': 0.9010286927223206}",213.0,9 months ago
213,"{'label': 'NEGATIVE', 'score': 0.9792261123657227}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",214.0,a year ago
214,"{'label': 'NEGATIVE', 'score': 0.9554516077041626}","{'label': 'POSITIVE', 'score': 0.950011670589447}",215.0,a year ago
215,"{'label': 'NEGATIVE', 'score': 0.987423837184906}","{'label': 'POSITIVE', 'score': 0.950011670589447}",216.0,2 years ago
216,"{'label': 'POSITIVE', 'score': 0.8100833892822266}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",217.0,a year ago
217,"{'label': 'POSITIVE', 'score': 0.9810348153114319}","{'label': 'POSITIVE', 'score': 0.950011670589447}",218.0,11 months ago
218,"{'label': 'POSITIVE', 'score': 0.9711142182350159}","{'label': 'POSITIVE', 'score': 0.92964106798172}",219.0,a year ago
219,"{'label': 'POSITIVE', 'score': 0.9780789017677307}","{'label': 'POSITIVE', 'score': 0.950011670589447}",220.0,a year ago
220,"{'label': 'POSITIVE', 'score': 0.8840136528015137}","{'label': 'POSITIVE', 'score': 0.950011670589447}",221.0,2 years ago
221,"{'label': 'POSITIVE', 'score': 0.9843934178352356}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",222.0,2 years ago
222,"{'label': 'POSITIVE', 'score': 0.9820029735565186}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",223.0,2 years ago
223,"{'label': 'POSITIVE', 'score': 0.9781242609024048}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",224.0,2 years ago
224,"{'label': 'POSITIVE', 'score': 0.9845196008682251}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",225.0,a year ago
225,"{'label': 'POSITIVE', 'score': 0.9403880834579468}","{'label': 'POSITIVE', 'score': 0.950011670589447}",226.0,a year ago
226,"{'label': 'POSITIVE', 'score': 0.9783461689949036}","{'label': 'POSITIVE', 'score': 0.950011670589447}",227.0,2 years ago
227,"{'label': 'POSITIVE', 'score': 0.9927672147750854}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",228.0,a year ago
228,"{'label': 'NEGATIVE', 'score': 0.9794832468032837}","{'label': 'POSITIVE', 'score': 0.950011670589447}",229.0,a year ago
229,"{'label': 'POSITIVE', 'score': 0.8521938920021057}","{'label': 'POSITIVE', 'score': 0.950011670589447}",230.0,2 years ago
230,"{'label': 'NEGATIVE', 'score': 0.9341943860054016}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",231.0,a year ago
231,"{'label': 'POSITIVE', 'score': 0.9698469638824463}","{'label': 'POSITIVE', 'score': 0.950011670589447}",232.0,3 years ago
232,"{'label': 'POSITIVE', 'score': 0.980949342250824}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",233.0,a year ago
233,"{'label': 'POSITIVE', 'score': 0.9763104915618896}","{'label': 'POSITIVE', 'score': 0.950011670589447}",234.0,8 months ago
234,"{'label': 'POSITIVE', 'score': 0.9778453707695007}","{'label': 'POSITIVE', 'score': 0.7053977251052856}",235.0,2 years ago
235,"{'label': 'NEGATIVE', 'score': 0.87724369764328}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",236.0,a year ago
236,"{'label': 'POSITIVE', 'score': 0.9910317659378052}","{'label': 'POSITIVE', 'score': 0.950011670589447}",237.0,3 years ago
237,"{'label': 'POSITIVE', 'score': 0.96275794506073}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",238.0,2 years ago
238,"{'label': 'NEGATIVE', 'score': 0.7870783805847168}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",239.0,2 years ago
239,"{'label': 'POSITIVE', 'score': 0.7396743297576904}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",240.0,2 years ago
240,"{'label': 'POSITIVE', 'score': 0.9797654747962952}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",241.0,2 years ago
241,"{'label': 'POSITIVE', 'score': 0.9773960113525391}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",242.0,9 months ago
242,"{'label': 'NEGATIVE', 'score': 0.9827786087989807}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",243.0,a year ago
243,"{'label': 'POSITIVE', 'score': 0.9122436046600342}","{'label': 'POSITIVE', 'score': 0.950011670589447}",244.0,3 years ago
244,"{'label': 'POSITIVE', 'score': 0.9819921255111694}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",245.0,a year ago
245,"{'label': 'NEGATIVE', 'score': 0.6844003200531006}","{'label': 'POSITIVE', 'score': 0.950011670589447}",246.0,a month ago
246,"{'label': 'POSITIVE', 'score': 0.9781731963157654}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",247.0,a year ago
247,"{'label': 'POSITIVE', 'score': 0.9862738251686096}","{'label': 'POSITIVE', 'score': 0.950011670589447}",248.0,2 years ago
248,"{'label': 'POSITIVE', 'score': 0.9833189249038696}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",249.0,9 months ago
249,"{'label': 'POSITIVE', 'score': 0.9818844199180603}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",250.0,6 months ago
250,"{'label': 'POSITIVE', 'score': 0.9766069054603577}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",251.0,a year ago
251,"{'label': 'POSITIVE', 'score': 0.9685976505279541}","{'label': 'POSITIVE', 'score': 0.950011670589447}",252.0,a year ago
252,"{'label': 'POSITIVE', 'score': 0.9761276841163635}","{'label': 'POSITIVE', 'score': 0.950011670589447}",253.0,a year ago
253,"{'label': 'POSITIVE', 'score': 0.9837108254432678}","{'label': 'POSITIVE', 'score': 0.950011670589447}",254.0,a year ago
254,"{'label': 'POSITIVE', 'score': 0.9801616668701172}","{'label': 'POSITIVE', 'score': 0.950011670589447}",255.0,2 years ago
255,"{'label': 'POSITIVE', 'score': 0.9753511548042297}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",256.0,a year ago
256,"{'label': 'POSITIVE', 'score': 0.9823237657546997}","{'label': 'POSITIVE', 'score': 0.950011670589447}",257.0,a year ago
257,"{'label': 'POSITIVE', 'score': 0.9729228615760803}","{'label': 'POSITIVE', 'score': 0.950011670589447}",258.0,a year ago
258,"{'label': 'NEGATIVE', 'score': 0.7992210984230042}","{'label': 'POSITIVE', 'score': 0.950011670589447}",259.0,2 years ago
259,"{'label': 'POSITIVE', 'score': 0.9777175188064575}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",260.0,a year ago
260,"{'label': 'POSITIVE', 'score': 0.8739686608314514}","{'label': 'POSITIVE', 'score': 0.950011670589447}",261.0,2 years ago
261,"{'label': 'POSITIVE', 'score': 0.9821916222572327}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",262.0,2 years ago
262,"{'label': 'POSITIVE', 'score': 0.968468964099884}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",263.0,a year ago
263,"{'label': 'NEGATIVE', 'score': 0.963336706161499}","{'label': 'POSITIVE', 'score': 0.950011670589447}",264.0,2 years ago
264,"{'label': 'POSITIVE', 'score': 0.9694273471832275}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",265.0,a month ago
265,"{'label': 'POSITIVE', 'score': 0.9732495546340942}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",266.0,a month ago
266,"{'label': 'NEGATIVE', 'score': 0.9135540723800659}","{'label': 'NEGATIVE', 'score': 0.9838125705718994}",267.0,a year ago
267,"{'label': 'POSITIVE', 'score': 0.9841387867927551}","{'label': 'POSITIVE', 'score': 0.950011670589447}",268.0,2 years ago
268,"{'label': 'POSITIVE', 'score': 0.9406272768974304}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",269.0,a year ago
269,"{'label': 'POSITIVE', 'score': 0.9915558099746704}","{'label': 'POSITIVE', 'score': 0.950011670589447}",270.0,a year ago
270,"{'label': 'POSITIVE', 'score': 0.9831418991088867}","{'label': 'POSITIVE', 'score': 0.950011670589447}",271.0,a year ago
271,"{'label': 'POSITIVE', 'score': 0.9855896830558777}","{'label': 'POSITIVE', 'score': 0.950011670589447}",272.0,a year ago
272,"{'label': 'POSITIVE', 'score': 0.9794856309890747}","{'label': 'POSITIVE', 'score': 0.950011670589447}",273.0,2 years ago
273,"{'label': 'POSITIVE', 'score': 0.9816376566886902}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",274.0,a year ago
274,"{'label': 'POSITIVE', 'score': 0.9827461242675781}","{'label': 'POSITIVE', 'score': 0.950011670589447}",275.0,2 years ago
275,"{'label': 'POSITIVE', 'score': 0.9754270315170288}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",276.0,a year ago
276,"{'label': 'NEGATIVE', 'score': 0.9862896800041199}","{'label': 'POSITIVE', 'score': 0.950011670589447}",277.0,a year ago
277,"{'label': 'POSITIVE', 'score': 0.9743757247924805}","{'label': 'POSITIVE', 'score': 0.950011670589447}",278.0,3 years ago
278,"{'label': 'NEGATIVE', 'score': 0.8924944400787354}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",279.0,8 months ago
279,"{'label': 'POSITIVE', 'score': 0.5514323115348816}","{'label': 'POSITIVE', 'score': 0.7053977251052856}",280.0,a year ago
280,"{'label': 'NEGATIVE', 'score': 0.9770811200141907}","{'label': 'POSITIVE', 'score': 0.950011670589447}",281.0,2 years ago
281,"{'label': 'NEGATIVE', 'score': 0.9893649816513062}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",282.0,9 months ago
282,"{'label': 'NEGATIVE', 'score': 0.9801403880119324}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",283.0,a year ago
283,"{'label': 'NEGATIVE', 'score': 0.9831324219703674}","{'label': 'POSITIVE', 'score': 0.950011670589447}",284.0,a year ago
284,"{'label': 'NEGATIVE', 'score': 0.9883370995521545}","{'label': 'POSITIVE', 'score': 0.950011670589447}",285.0,6 months ago
285,"{'label': 'POSITIVE', 'score': 0.9434401988983154}","{'label': 'NEGATIVE', 'score': 0.9405338168144226}",286.0,a year ago
286,"{'label': 'POSITIVE', 'score': 0.9607644081115723}","{'label': 'POSITIVE', 'score': 0.950011670589447}",287.0,9 months ago
287,"{'label': 'NEGATIVE', 'score': 0.9857479929924011}","{'label': 'POSITIVE', 'score': 0.6210360527038574}",288.0,2 years ago
288,"{'label': 'POSITIVE', 'score': 0.9779868721961975}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",289.0,2 years ago
289,"{'label': 'POSITIVE', 'score': 0.9640166759490967}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",290.0,2 years ago
290,"{'label': 'NEGATIVE', 'score': 0.7877399325370789}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",291.0,a year ago
291,"{'label': 'POSITIVE', 'score': 0.9815463423728943}","{'label': 'POSITIVE', 'score': 0.950011670589447}",292.0,3 years ago
292,"{'label': 'NEGATIVE', 'score': 0.9869912266731262}","{'label': 'POSITIVE', 'score': 0.9702163338661194}",293.0,2 years ago
293,"{'label': 'NEGATIVE', 'score': 0.8712306618690491}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",294.0,8 months ago
294,"{'label': 'NEGATIVE', 'score': 0.9872894883155823}","{'label': 'POSITIVE', 'score': 0.7053977251052856}",295.0,a year ago
295,"{'label': 'POSITIVE', 'score': 0.5142381191253662}","{'label': 'POSITIVE', 'score': 0.950011670589447}",296.0,2 years ago
296,"{'label': 'POSITIVE', 'score': 0.8102050423622131}","{'label': 'POSITIVE', 'score': 0.9636545181274414}",297.0,a year ago
